Date,Weight2
2022-09-03,60.70
2022-09-04,61.00
2022-09-05,60.60
2022-09-06,60.90
2022-09-07,60.90
2022-09-08,60.90
2022-09-09,61.00
2022-09-10,61.00
2022-09-11,61.00
2022-09-12,60.70
2022-09-13,60.60
2022-09-14,60.80
2022-09-15,60.70
2022-09-16,60.50
2022-09-17,60.30
2022-09-18,60.30
2022-09-19,60.80
2022-09-20,60.60
2022-09-21,60.70
2022-09-22,61.00
2022-09-23,61.20
2022-09-24,61.60
2022-09-25,60.60
2022-09-26,60.70
2022-09-27,60.30
2022-09-28,60.20
2022-09-29,60.20
2022-09-30,60.60
2022-10-01,60.30
2022-10-02,60.50
2022-10-03,60.60
2022-10-04,60.50
2022-10-05,60.30
2022-10-06,60.60
2022-10-07,60.70
2022-10-08,60.40
2022-10-09,61.10
2022-10-10,60.70
2022-10-11,60.40
2022-10-12,60.50
2022-10-13,60.30
2022-10-14,60.20
2022-10-15,60.10
2022-10-16,60.40
2022-10-17,60.60
2022-10-18,60.40
2022-10-19,60.80
2022-10-20,60.50
2022-10-21,60.30
2022-10-22,60.50
2022-10-23,60.20
2022-10-24,59.90
2022-10-25,60.00
2022-10-26,59.70
2022-10-27,59.90
2022-10-28,59.90
2022-10-29,59.70
2022-10-30,59.50
2022-10-31,59.80
2022-11-01,59.90
2022-11-02,60.00
2022-11-03,59.90
2022-11-04,60.10
2022-11-05,60.00
2022-11-06,59.90
2022-11-07,59.80
2022-11-08,59.70
2022-11-09,59.90
2022-11-10,60.00
2022-11-11,60.10
2022-11-12,59.90
2022-11-13,59.80
2022-11-14,59.60
2022-11-15,59.60
2022-11-16,59.90
2022-11-17,60.40
2022-11-18,59.90
2022-11-19,60.10
2022-11-20,60.20
